Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
17-Dec-2024,EQ,"62.80","62.99","62.00","62.67","62.15","62.36","62.57","80.00","59.10",5648927,"35,34,44,749.52",59331
16-Dec-2024,EQ,"64.00","64.30","62.51","63.90","62.72","62.67","62.92","80.00","59.10",4847049,"30,49,55,501.33",66361
13-Dec-2024,EQ,"64.59","64.66","63.22","64.43","63.90","63.90","63.86","80.00","59.10",2360220,"15,07,19,581.96",39989
12-Dec-2024,EQ,"65.00","65.74","64.25","65.39","64.25","64.43","64.74","80.00","59.10",2272864,"14,71,37,439.95",27239
11-Dec-2024,EQ,"65.71","65.74","64.31","65.15","64.90","65.39","64.87","80.00","59.10",4950911,"32,11,69,078.57",51252
10-Dec-2024,EQ,"63.20","66.20","62.60","62.85","66.05","65.15","64.23","80.00","59.10",7299701,"46,88,36,982.27",33939
09-Dec-2024,EQ,"63.06","63.25","62.55","63.06","62.81","62.85","62.86","80.00","59.10",5794000,"36,41,91,107.50",28966
06-Dec-2024,EQ,"64.10","64.10","62.94","63.80","63.06","63.06","63.24","80.00","59.10",4597403,"29,07,43,906.53",43373
05-Dec-2024,EQ,"63.95","64.10","63.52","63.75","63.75","63.80","63.80","80.00","59.10",1665206,"10,62,46,475.48",24043
04-Dec-2024,EQ,"64.37","64.41","63.03","63.68","63.80","63.75","63.83","80.00","59.10",2551354,"16,28,54,782.20",25203
03-Dec-2024,EQ,"63.88","64.10","63.30","63.96","63.80","63.68","63.82","80.00","59.10",3992577,"25,48,15,171.43",36623
