Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
16-Jun-2023,EQ,45.05,45.45,44.35,44.85,44.8,45.0,44.8,47.9,28.8,"1,26,23,454","56,55,04,304.20","18,255"
15-Jun-2023,EQ,45.35,46.25,44.75,45.4,44.9,44.85,45.63,47.9,28.8,"1,41,94,782","64,76,38,059.30","24,197"
14-Jun-2023,EQ,45.7,46.1,45.0,45.55,45.3,45.4,45.56,47.9,28.8,"1,17,47,144","53,51,79,391.85","20,254"
13-Jun-2023,EQ,45.0,45.8,44.7,45.0,45.5,45.55,45.41,47.9,28.8,"1,87,81,531","85,27,77,882.10","32,564"
12-Jun-2023,EQ,44.65,45.15,43.95,44.5,44.95,45.0,44.48,47.9,28.8,"1,39,20,470","61,92,27,404.15","20,710"
09-Jun-2023,EQ,44.95,45.55,44.25,44.85,44.6,44.5,45.0,47.9,28.8,"2,03,16,918","91,41,67,266.20","27,286"
08-Jun-2023,EQ,44.2,45.4,44.1,43.95,44.9,44.85,44.93,47.9,28.8,"2,13,38,505","95,87,68,988.85","26,419"
07-Jun-2023,EQ,44.5,45.1,43.85,44.55,44.0,43.95,44.36,47.9,28.8,"1,06,88,660","47,41,81,839.95","20,000"
06-Jun-2023,EQ,43.85,44.85,43.6,43.9,44.4,44.55,44.32,47.9,28.8,"1,30,80,051","57,96,92,635.60","23,480"
05-Jun-2023,EQ,43.5,45.15,43.4,43.2,43.8,43.9,44.16,47.9,28.8,"1,57,93,306","69,74,27,831.50","26,306"
02-Jun-2023,EQ,43.85,44.65,43.1,43.45,43.25,43.2,43.81,47.9,28.8,"97,34,350","42,65,07,574.65","19,120"
01-Jun-2023,EQ,43.45,43.8,42.95,43.45,43.45,43.45,43.35,47.9,28.8,"1,07,61,376","46,64,82,437.95","22,447"
31-May-2023,EQ,43.8,44.1,42.95,43.8,43.25,43.45,43.56,47.9,28.8,"84,16,556","36,66,19,233.00","16,671"
30-May-2023,EQ,43.4,45.2,43.25,42.9,43.65,43.8,44.19,47.9,28.8,"1,90,70,599","84,27,81,313.95","28,654"
29-May-2023,EQ,43.2,43.95,42.75,42.95,42.8,42.9,43.06,47.9,28.8,"1,45,80,394","62,77,96,849.60","17,616"
26-May-2023,EQ,42.8,43.15,42.55,42.7,42.9,42.95,42.85,47.9,28.8,"47,13,616","20,19,85,035.50","8,517"
25-May-2023,EQ,43.05,43.25,42.55,43.0,42.65,42.7,42.91,47.9,28.8,"32,00,004","13,73,24,800.65","8,773"
24-May-2023,EQ,43.2,43.6,42.8,43.15,43.0,43.0,43.1,47.9,28.8,"47,11,384","20,30,48,264.10","9,953"
23-May-2023,EQ,43.7,44.05,42.85,43.55,43.55,43.15,43.4,47.9,28.8,"68,93,648","29,91,94,110.00","12,663"
22-May-2023,EQ,44.35,44.6,43.45,44.1,43.6,43.55,43.81,47.9,28.8,"37,48,160","16,42,12,156.80","11,860"
19-May-2023,EQ,44.0,44.5,43.25,44.05,44.35,44.1,43.78,47.9,28.8,"60,62,256","26,54,22,920.60","14,722"
18-May-2023,EQ,44.75,45.05,43.9,44.3,44.0,44.05,44.45,47.9,28.8,"52,93,124","23,52,72,175.20","12,403"
17-May-2023,EQ,44.25,44.75,44.25,44.25,44.35,44.3,44.41,47.9,28.8,"43,35,607","19,25,50,217.25","10,811"
16-May-2023,EQ,44.3,45.1,44.05,43.95,44.15,44.25,44.49,47.9,28.8,"63,86,134","28,41,28,970.50","12,167"
15-May-2023,EQ,44.6,44.7,43.8,44.55,44.15,43.95,44.18,47.9,28.8,"56,96,861","25,17,11,312.95","22,415"
12-May-2023,EQ,44.75,44.95,44.3,44.5,44.6,44.55,44.59,47.9,28.8,"55,25,797","24,63,97,099.50","13,638"
11-May-2023,EQ,44.45,44.75,43.95,44.45,44.75,44.5,44.37,47.9,28.8,"67,34,786","29,88,34,115.25","16,153"
10-May-2023,EQ,44.75,44.75,43.3,44.6,44.45,44.45,44.15,47.9,28.8,"74,30,991","32,80,96,015.60","22,053"
09-May-2023,EQ,45.7,45.9,44.5,45.6,44.65,44.6,45.04,47.9,28.8,"46,61,893","20,99,84,945.05","13,846"
08-May-2023,EQ,46.0,46.25,45.2,45.7,45.55,45.6,45.65,47.9,28.8,"79,66,329","36,36,71,915.15","15,280"
05-May-2023,EQ,45.1,46.65,44.5,45.25,45.6,45.7,45.44,47.9,28.8,"1,20,24,104","54,64,13,937.50","22,050"
04-May-2023,EQ,45.85,46.35,45.05,45.65,45.2,45.25,45.75,47.9,28.8,"1,25,39,637","57,37,43,637.25","28,088"
03-May-2023,EQ,44.25,46.1,44.05,44.5,45.7,45.65,45.31,47.9,28.8,"1,84,16,615","83,44,37,753.55","27,799"
02-May-2023,EQ,44.25,45.3,43.85,44.25,44.4,44.5,44.45,47.9,28.8,"1,29,56,872","57,59,66,344.85","24,218"
28-Apr-2023,EQ,45.2,45.45,44.05,44.85,44.1,44.25,44.78,47.9,28.8,"1,16,69,717","52,25,16,219.20","24,057"
27-Apr-2023,EQ,44.55,47.9,44.35,44.3,44.85,44.85,46.12,47.9,28.8,"4,67,51,538","2,15,60,17,756.80","74,415"
26-Apr-2023,EQ,42.1,44.8,42.1,42.1,44.3,44.3,43.66,46.9,28.8,"1,99,35,615","87,04,55,655.30","28,933"
25-Apr-2023,EQ,42.4,42.85,41.9,42.4,42.2,42.1,42.31,46.9,28.8,"57,64,710","24,38,95,878.10","9,827"
24-Apr-2023,EQ,42.85,43.25,42.25,42.85,42.45,42.4,42.68,46.9,28.8,"47,44,973","20,25,24,961.65","10,257"
21-Apr-2023,EQ,42.2,43.05,41.85,41.9,42.7,42.85,42.47,46.9,28.8,"64,45,276","27,37,52,638.45","10,473"
20-Apr-2023,EQ,43.1,43.2,41.8,42.95,41.9,41.9,42.31,46.9,28.8,"56,79,451","24,03,20,726.60","10,762"
19-Apr-2023,EQ,43.0,43.7,42.75,43.05,42.95,42.95,43.27,46.9,28.8,"66,70,845","28,86,31,494.45","13,263"
18-Apr-2023,EQ,43.4,43.45,42.55,43.45,43.0,43.05,42.92,46.9,28.8,"81,24,105","34,86,51,253.20","20,439"
17-Apr-2023,EQ,42.85,43.7,42.6,42.85,43.2,43.45,43.23,46.9,28.8,"1,46,15,921","63,18,52,560.25","20,873"
13-Apr-2023,EQ,41.2,42.95,41.1,41.3,42.8,42.85,42.3,46.9,28.8,"1,71,54,863","72,55,90,631.35","28,281"
12-Apr-2023,EQ,41.3,41.7,40.6,41.25,41.2,41.3,41.09,46.9,28.8,"74,06,005","30,43,02,173.50","11,368"
11-Apr-2023,EQ,40.15,41.4,39.9,40.05,41.25,41.25,40.61,46.9,28.8,"1,10,09,043","44,70,78,050.00","16,381"
10-Apr-2023,EQ,40.25,40.85,39.95,40.25,40.0,40.05,40.39,46.9,28.8,"66,63,193","26,91,54,167.75","11,030"
06-Apr-2023,EQ,40.15,40.45,39.95,40.25,40.1,40.25,40.18,46.9,28.15,"78,84,742","31,68,02,512.75","8,853"
05-Apr-2023,EQ,40.3,40.6,39.9,40.3,40.25,40.25,40.11,46.9,28.15,"98,03,125","39,32,10,290.65","17,855"
03-Apr-2023,EQ,40.2,40.55,39.95,40.2,40.3,40.3,40.23,46.9,28.15,"1,15,15,747","46,33,20,125.35","29,349"
31-Mar-2023,EQ,41.85,42.0,40.0,41.6,40.2,40.2,40.66,46.9,27.05,"1,03,59,407","42,12,30,661.55","22,292"
29-Mar-2023,EQ,39.25,43.8,38.75,39.05,42.6,41.6,40.87,46.9,27.05,"2,54,38,120","1,03,95,32,071.35","33,477"
28-Mar-2023,EQ,39.2,39.55,38.7,39.0,39.1,39.05,39.05,46.9,27.05,"1,22,43,780","47,80,91,339.85","20,127"
27-Mar-2023,EQ,39.5,39.7,38.75,39.6,39.05,39.0,39.11,46.9,27.05,"1,13,23,037","44,28,41,936.45","22,478"
24-Mar-2023,EQ,40.15,40.35,39.5,40.0,39.5,39.6,39.88,46.9,27.05,"44,95,243","17,92,55,156.55","8,555"
23-Mar-2023,EQ,40.2,40.5,40.0,40.3,40.05,40.0,40.12,46.9,27.05,"56,42,180","22,63,61,618.05","8,955"
22-Mar-2023,EQ,40.1,40.75,40.1,40.0,40.2,40.3,40.38,46.9,27.05,"44,77,410","18,08,06,575.55","14,971"
21-Mar-2023,EQ,40.75,41.2,39.8,40.45,40.05,40.0,40.34,46.9,27.05,"81,24,382","32,77,74,115.05","12,924"
20-Mar-2023,EQ,41.8,41.85,40.2,41.8,40.6,40.45,41.03,46.9,27.05,"79,08,860","32,45,17,113.30","15,818"
17-Mar-2023,EQ,40.75,43.0,40.75,40.65,41.7,41.8,42.22,46.9,27.05,"3,21,74,970","1,35,84,13,107.50","56,464"
16-Mar-2023,EQ,41.1,41.35,40.3,41.1,40.75,40.65,40.72,46.9,27.05,"57,97,687","23,60,75,983.20","20,793"
15-Mar-2023,EQ,40.4,41.35,40.3,40.2,40.95,41.1,41.05,46.9,27.05,"64,60,098","26,51,78,308.85","13,443"
14-Mar-2023,EQ,40.25,40.75,39.9,40.25,40.0,40.2,40.31,46.9,27.05,"55,64,064","22,42,70,689.25","14,886"
13-Mar-2023,EQ,41.0,41.15,39.9,41.05,40.15,40.25,40.33,46.9,27.05,"66,47,383","26,81,02,971.35","15,191"
10-Mar-2023,EQ,40.5,41.35,39.9,40.8,40.8,41.05,40.53,46.9,27.05,"52,20,866","21,16,14,546.20","14,560"
09-Mar-2023,EQ,41.9,41.9,40.55,41.65,40.85,40.8,41.13,46.9,27.05,"53,86,529","22,15,27,584.80","11,456"
08-Mar-2023,EQ,39.9,41.8,39.9,39.95,41.7,41.65,40.81,46.9,27.05,"1,68,75,862","68,86,92,986.35","17,963"
06-Mar-2023,EQ,39.95,40.7,39.15,39.8,39.9,39.95,40.16,46.9,27.05,"1,11,98,659","44,96,95,594.70","19,204"
03-Mar-2023,EQ,40.4,40.75,39.7,40.15,39.75,39.8,40.23,46.9,27.05,"79,96,805","32,17,27,891.85","23,655"
02-Mar-2023,EQ,40.2,40.45,39.85,40.1,40.2,40.15,40.18,46.9,27.05,"62,43,216","25,08,34,175.85","18,164"
01-Mar-2023,EQ,39.45,40.5,39.15,39.15,39.95,40.1,39.67,46.9,27.05,"1,08,97,703","43,22,68,705.55","22,393"
28-Feb-2023,EQ,39.1,40.4,38.05,38.4,39.75,39.15,38.84,46.9,27.05,"1,06,98,085","41,55,65,501.65","20,209"
27-Feb-2023,EQ,38.6,39.1,37.75,38.6,38.3,38.4,38.27,46.9,27.05,"1,27,45,906","48,77,79,640.25","26,520"
24-Feb-2023,EQ,38.7,39.1,38.3,38.7,38.5,38.6,38.87,46.9,27.05,"63,50,314","24,68,33,950.80","10,388"
23-Feb-2023,EQ,38.85,39.2,38.55,38.75,38.7,38.7,38.92,46.9,27.05,"34,65,047","13,48,49,032.85","9,264"
22-Feb-2023,EQ,39.0,39.4,38.6,39.1,38.85,38.75,38.93,46.9,27.05,"48,08,757","18,71,87,306.95","12,297"
21-Feb-2023,EQ,39.05,39.6,38.55,39.0,39.0,39.1,39.11,46.9,27.05,"93,70,466","36,64,57,215.05","22,189"
20-Feb-2023,EQ,39.8,40.0,38.75,40.0,38.95,39.0,39.37,46.9,27.05,"82,24,954","32,38,08,398.00","20,980"
17-Feb-2023,EQ,39.9,40.6,39.75,40.95,40.0,40.0,40.1,46.9,27.05,"55,72,185","22,34,70,850.50","12,634"
16-Feb-2023,EQ,40.95,41.1,40.4,40.75,40.9,40.95,40.87,46.9,27.05,"43,87,134","17,93,21,735.95","14,792"
15-Feb-2023,EQ,40.15,40.9,40.15,40.1,40.7,40.75,40.57,46.9,27.05,"47,45,356","19,25,10,076.45","12,868"
14-Feb-2023,EQ,40.2,40.3,39.8,40.05,40.15,40.1,40.09,46.9,27.05,"30,22,835","12,11,78,788.50","8,220"
13-Feb-2023,EQ,40.0,40.3,39.95,40.0,40.1,40.05,40.03,46.9,27.05,"62,29,293","24,93,87,852.70","10,833"
10-Feb-2023,EQ,40.4,40.75,40.0,40.75,40.15,40.0,40.15,46.9,27.05,"50,75,707","20,37,92,935.50","13,142"
09-Feb-2023,EQ,40.3,40.95,39.85,40.15,40.75,40.75,40.43,46.9,27.05,"79,44,176","32,11,83,423.85","12,740"
08-Feb-2023,EQ,40.15,40.3,39.85,40.2,40.25,40.15,40.08,46.9,27.05,"98,35,460","39,41,66,546.00","20,110"
07-Feb-2023,EQ,41.4,41.8,39.75,41.15,40.1,40.2,40.68,46.9,27.05,"78,30,467","31,85,68,045.85","13,424"
06-Feb-2023,EQ,41.25,41.4,40.9,41.0,41.15,41.15,41.11,46.9,27.05,"51,74,828","21,27,55,070.75","14,139"
03-Feb-2023,EQ,41.9,42.4,40.45,41.75,41.15,41.0,41.21,46.9,27.05,"1,21,64,558","50,12,48,374.50","21,519"
02-Feb-2023,EQ,42.45,43.5,40.9,42.4,41.4,41.75,42.38,46.9,27.05,"1,15,52,133","48,96,35,472.30","17,760"
