key,value
,50
DMA,200
Deviation,1.0
NetProfit,11491.923338159982
ROI,11.36869287103317
Equity,111368.69287103317
FYSummary,"{'2025-26': {'net': 11491.923338159982, 'units': 3463, 'avgBuy': 90.15451342766389, 'avgSell': 94.20733468091251, 'buyAmount': 312205.08, 'sellAmount': 326240.0}}"
Trades,"[{'date': Timestamp('2025-01-17 00:00:00'), 'price': 90.9, 'type': 'BUY'}, {'date': Timestamp('2025-07-03 00:00:00'), 'price': 95.92, 'type': 'SELL'}, {'date': Timestamp('2025-07-28 00:00:00'), 'price': 90.4, 'type': 'BUY'}, {'date': Timestamp('2025-07-29 00:00:00'), 'price': 93.88, 'type': 'SELL'}, {'date': Timestamp('2025-08-06 00:00:00'), 'price': 89.24, 'type': 'BUY'}, {'date': Timestamp('2025-08-18 00:00:00'), 'price': 92.96, 'type': 'SELL'}]"
Stock,jamnauto
