Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
17-Dec-2024,EQ,"191.39","192.60","189.32","190.67","191.49","191.61","191.11","250.69","138.00",894253,"17,08,99,685.93",21190
16-Dec-2024,EQ,"193.50","194.39","190.00","193.50","190.96","190.67","191.53","250.69","138.00",718598,"13,76,33,177.55",12120
13-Dec-2024,EQ,"195.00","195.33","189.20","195.33","193.52","193.50","192.29","250.69","138.00",987642,"18,99,16,127.57",24848
12-Dec-2024,EQ,"196.77","197.68","193.64","196.30","195.60","195.33","195.51","250.69","138.00",1680781,"32,86,08,379.64",26632
11-Dec-2024,EQ,"190.90","197.00","190.41","189.79","196.00","196.30","194.29","250.69","138.00",1362696,"26,47,60,669.75",19890
10-Dec-2024,EQ,"193.30","196.30","189.01","193.16","190.40","189.79","190.87","250.69","138.00",1824569,"34,82,62,988.33",22937
09-Dec-2024,EQ,"192.80","194.80","190.86","193.27","193.30","193.16","193.01","250.69","138.00",880063,"16,98,59,448.92",18726
06-Dec-2024,EQ,"192.00","194.00","190.32","191.34","193.79","193.27","192.71","250.69","138.00",895995,"17,26,65,671.27",18720
05-Dec-2024,EQ,"195.34","195.70","190.50","195.50","191.22","191.34","192.14","250.69","138.00",1076370,"20,68,15,112.43",26470
04-Dec-2024,EQ,"199.69","199.69","194.26","198.69","195.20","195.50","196.27","250.69","138.00",945548,"18,55,86,557.85",22409
03-Dec-2024,EQ,"188.00","203.00","187.41","187.53","198.70","198.69","198.49","250.69","138.00",6036706,"1,19,82,38,551.68",77750
02-Dec-2024,EQ,"187.60","188.21","185.13","187.57","187.51","187.53","186.91","250.69","138.00",448731,"8,38,70,544.39",9871
29-Nov-2024,EQ,"185.80","189.00","183.60","185.12","187.00","187.57","186.41","250.69","137.20",769189,"14,33,81,299.73",14765
28-Nov-2024,EQ,"182.55","187.05","182.55","183.60","185.45","185.12","185.81","250.69","137.20",1090952,"20,27,12,099.30",23121
27-Nov-2024,EQ,"181.21","186.50","181.00","181.50","184.00","183.60","184.02","250.69","137.20",1092835,"20,11,07,176.65",16245
26-Nov-2024,EQ,"178.00","183.65","178.00","179.51","181.21","181.50","181.66","250.69","137.20",755386,"13,72,20,994.48",14363
25-Nov-2024,EQ,"181.00","181.91","177.01","178.95","178.80","179.51","179.54","250.69","137.20",2018454,"36,23,88,672.62",34647
22-Nov-2024,EQ,"168.00","179.90","168.00","168.26","177.94","178.95","175.82","250.69","134.60",2872189,"50,49,94,439.25",46182
21-Nov-2024,EQ,"172.75","173.20","167.20","173.45","168.60","168.26","169.11","250.69","134.60",1179725,"19,95,05,505.51",26699
19-Nov-2024,EQ,"172.70","178.03","172.05","175.65","172.75","173.45","175.57","250.69","134.60",910243,"15,98,11,491.69",14791
18-Nov-2024,EQ,"176.99","179.93","174.00","175.56","176.44","175.65","176.33","250.69","134.60",978458,"17,25,35,335.87",16866
14-Nov-2024,EQ,"175.99","181.50","175.00","175.51","176.62","175.56","177.75","250.69","134.60",940163,"16,71,17,602.91",24833
13-Nov-2024,EQ,"179.10","182.21","174.00","179.28","174.29","175.51","178.03","250.69","134.60",1343633,"23,92,05,192.24",29917
12-Nov-2024,EQ,"182.73","183.58","178.00","182.73","178.50","179.28","181.02","250.69","134.60",637205,"11,53,49,784.14",15787
11-Nov-2024,EQ,"183.18","184.65","180.16","183.18","182.20","182.73","182.44","250.69","134.60",1073264,"19,58,04,606.46",27070
08-Nov-2024,EQ,"189.33","189.90","182.41","189.33","183.00","183.18","185.18","250.69","124.90",1117990,"20,70,28,381.95",25074
07-Nov-2024,EQ,"192.55","195.19","188.50","195.53","188.80","189.33","191.11","250.69","124.90",1552213,"29,66,39,579.11",31414
06-Nov-2024,EQ,"193.89","197.85","192.00","193.02","195.70","195.53","194.79","250.69","124.90",2213348,"43,11,36,285.37",47669
05-Nov-2024,EQ,"194.85","194.90","189.00","195.64","192.99","193.02","191.73","250.69","124.90",1564781,"30,00,22,149.18",50759
04-Nov-2024,EQ,"201.10","201.45","194.80","199.45","194.81","195.64","197.31","250.69","124.90",696072,"13,73,43,571.85",18497
01-Nov-2024,EQ,"198.46","200.26","198.46","197.37","199.81","199.45","199.55","250.69","120.45",157923,"3,15,14,307.48",3689
31-Oct-2024,EQ,"195.30","199.88","195.28","195.85","198.80","197.37","197.62","250.69","120.45",761570,"15,04,97,978.29",17726
30-Oct-2024,EQ,"193.00","197.40","191.40","193.17","195.40","195.85","195.71","250.69","120.45",993957,"19,45,24,679.67",19280
29-Oct-2024,EQ,"191.80","194.18","189.20","191.35","193.75","193.17","191.49","250.69","120.45",963532,"18,45,02,132.24",25682
28-Oct-2024,EQ,"190.65","193.77","187.54","190.54","191.38","191.35","191.10","250.69","120.45",1038687,"19,84,93,580.12",29882
25-Oct-2024,EQ,"196.75","196.89","187.35","196.20","192.00","190.54","191.19","250.69","116.25",1544871,"29,53,70,077.65",41279
24-Oct-2024,EQ,"198.20","201.59","195.05","199.78","196.00","196.20","198.05","250.69","116.25",801503,"15,87,34,716.23",22279
23-Oct-2024,EQ,"200.00","200.99","191.65","200.26","198.50","199.78","197.99","250.69","116.25",1586315,"31,40,73,486.31",54333
22-Oct-2024,EQ,"203.85","205.59","198.70","203.56","200.86","200.26","200.90","250.69","116.25",1738763,"34,93,15,711.18",53320
21-Oct-2024,EQ,"209.55","215.90","201.60","209.29","203.20","203.56","206.81","250.69","116.25",1773168,"36,67,15,048.75",26287
18-Oct-2024,EQ,"208.00","211.13","202.75","209.83","209.10","209.29","207.43","250.69","116.25",1085826,"22,52,27,481.12",34682
17-Oct-2024,EQ,"212.95","213.90","208.60","212.86","209.20","209.83","211.17","250.69","116.25",736265,"15,54,77,955.87",14976
16-Oct-2024,EQ,"211.35","215.29","210.20","213.27","213.50","212.86","212.62","250.69","116.25",887138,"18,86,27,348.54",16100
15-Oct-2024,EQ,"212.11","216.48","211.25","211.37","213.06","213.27","214.01","250.69","116.25",1109706,"23,74,90,422.00",21942
14-Oct-2024,EQ,"212.00","213.65","210.60","211.74","210.70","211.37","212.01","250.69","116.25",570638,"12,09,79,964.93",11913
11-Oct-2024,EQ,"212.20","215.75","210.51","212.25","212.50","211.74","212.50","250.69","116.25",770709,"16,37,76,385.26",15522
10-Oct-2024,EQ,"213.85","215.41","211.01","213.60","212.00","212.25","213.11","250.69","116.25",809115,"17,24,33,579.75",16675
09-Oct-2024,EQ,"214.40","220.93","211.10","213.87","213.48","213.60","215.61","250.69","116.25",1595639,"34,40,32,338.46",29507
08-Oct-2024,EQ,"203.79","215.00","201.10","205.50","214.50","213.87","209.96","250.69","116.25",1320345,"27,72,16,831.49",30702
07-Oct-2024,EQ,"215.39","218.36","202.86","214.29","205.45","205.50","207.36","250.69","116.25",2271479,"47,10,20,283.07",58381
04-Oct-2024,EQ,"217.03","219.30","213.00","219.31","213.90","214.29","215.57","250.69","116.25",1160484,"25,01,68,603.81",29413
03-Oct-2024,EQ,"215.00","221.44","214.60","217.71","219.00","219.31","219.07","250.69","116.25",1845706,"40,43,46,139.84",36803
01-Oct-2024,EQ,"219.80","221.90","217.01","220.06","218.19","217.71","218.88","250.69","116.25",2748137,"60,15,18,150.77",20654
30-Sep-2024,EQ,"219.26","221.05","214.71","219.52","220.03","220.06","218.11","250.69","116.25",1375834,"30,00,82,299.49",26128
27-Sep-2024,EQ,"218.95","221.50","216.55","218.74","219.00","219.52","219.32","250.69","116.25",1315287,"28,84,68,217.08",20787
26-Sep-2024,EQ,"222.61","224.10","218.00","222.61","219.00","218.74","219.75","250.69","116.25",853193,"18,74,88,196.07",17734
25-Sep-2024,EQ,"222.90","225.00","221.56","224.33","222.59","222.61","223.01","250.69","116.25",694938,"15,49,79,391.19",13794
24-Sep-2024,EQ,"220.30","227.14","219.42","219.30","222.90","224.33","223.93","250.69","116.25",1765214,"39,52,85,493.41",24797
23-Sep-2024,EQ,"218.60","221.28","217.34","217.33","219.29","219.30","219.51","250.69","116.25",883033,"19,38,35,501.47",18952
20-Sep-2024,EQ,"221.29","221.30","213.99","219.99","217.47","217.33","217.09","250.69","116.25",1506733,"32,70,95,468.04",27734
19-Sep-2024,EQ,"221.78","223.99","212.77","220.37","220.75","219.99","216.93","250.69","116.25",2137152,"46,36,18,291.53",42115
18-Sep-2024,EQ,"226.20","226.97","217.79","226.12","221.75","220.37","221.92","250.69","116.25",1146364,"25,43,99,972.98",20242
17-Sep-2024,EQ,"226.00","229.32","225.20","226.05","226.75","226.12","227.02","250.69","116.25",912851,"20,72,36,463.44",22357
16-Sep-2024,EQ,"229.69","229.69","225.22","228.69","226.00","226.05","226.77","250.69","116.25",977843,"22,17,47,075.79",16456
13-Sep-2024,EQ,"227.80","230.85","225.75","226.17","228.41","228.69","228.52","250.69","116.25",1179863,"26,96,24,941.86",17771
12-Sep-2024,EQ,"231.90","232.20","220.00","229.89","226.99","226.17","227.94","250.69","116.25",1133761,"25,84,25,130.90",17020
11-Sep-2024,EQ,"228.80","235.60","227.05","227.55","231.14","229.89","231.12","250.69","116.25",3077580,"71,12,97,632.51",32442
10-Sep-2024,EQ,"225.90","229.29","223.98","224.44","227.69","227.55","226.84","250.69","116.25",1231577,"27,93,68,706.55",23784
09-Sep-2024,EQ,"225.02","226.00","219.02","226.73","224.74","224.44","222.72","250.69","116.25",1641157,"36,55,18,956.79",22261
06-Sep-2024,EQ,"232.65","232.90","225.86","232.45","226.79","226.73","228.05","250.69","116.25",1544661,"35,22,54,201.69",27201
